"behavior","group","start","end","delta","mean","sd"
"Foraging","Group1",114,400,286,257,85.0842980574365
"Foraging","Group1",583,757,174,670,51.7645729440348
"Foraging","Group1",131,338,207,234.5,61.5819919506621
"Foraging","Group1",110,545,435,327.5,129.411432360087
"Foraging","Group1",95,479,384,287,114.239057531663
"Foraging","Group1",217,593,376,405,111.85907716642
"Foraging","Group1",101,441,340,271,101.149165522827
"Foraging","Group1",679,793,114,736,33.9147202047124
"Foraging","Group1",115,340,225,227.5,66.9369477724588
"Foraging","Group1",518,610,92,564,27.3697742002943
"Foraging","Group1",655,712,57,683.5,16.9573601023563
"Foraging","Group1",898,953,55,925.5,16.3623650110454
"Foraging","Group1",1019,1076,57,1047.5,16.957360102357
"Foraging","Group1",1157,1221,64,1189,19.0398429219431
"Foraging","Group1",1303,1372,69,1337.5,20.5273306502205
"Foraging","Group1",24,77,53,50.5,15.7673699197347
"Foraging","Group1",296,341,45,318.5,13.3873895544917
"Foraging","Group1",102,249,147,175.5,43.7321392113398
"Foraging","Group1",59,86,27,72.5,8.03243373269505
"Foraging","Group1",140,212,72,176,21.4198232871869
"Foraging","Group1",260,279,19,269.5,5.65245336745207
"Foraging","Group1",381,440,59,410.5,17.552355193667
"Foraging","Group1",462,505,43,483.5,12.792394463181
"Foraging","Group1",135,354,219,244.5,65.1519624985267
"Foraging","Group1",536,645,109,590.5,32.4272324764356
"Foraging","Group1",859,1026,167,942.5,49.6820901244473
"Foraging","Group1",162,641,479,401.5,142.501324368923
"Foraging","Group1",63,180,117,121.5,34.8072128416786
"Foraging","Group1",353,409,56,381,16.6598625567009
"Foraging","Group1",58,233,175,145.5,52.0620704896902
"Foraging","Group1",544,833,289,688.5,85.9767906944027
"Foraging","Group1",93,514,421,303.5,125.246466720912
"Foraging","Group1",210,529,319,369.5,94.9017170640638
"Foraging","Group1",78,285,207,181.5,61.5819919506621
"Foraging","Group1",77,161,84,119,24.9897938350513
"Foraging","Group1",360,415,55,387.5,16.3623650110455
"Foraging","Group1",646,720,74,683,22.0148183784976
"Foraging","Group1",131,593,462,362,137.443866092782
"Foraging","Group1",63,164,101,113.5,30.0472521111926
"Foraging","Group1",41,140,99,90.5,29.4522570198819
"Foraging","Group1",29,115,86,72,25.584788926362
"Foraging","Group1",38,93,55,65.5,16.3623650110455
"Foraging","Group1",257,416,159,336.5,47.3021097592043
"Foraging","Group1",486,578,92,532,27.3697742002943
"Foraging","Group1",627,809,182,718,54.1445533092778
"Foraging","Group1",890,1086,196,988,58.309518948453
"Foraging","Group1",1097,1201,104,1149,30.9397447481589
"Social","Group1",13917.645051139,14382.7445541586,465.099503019601,15024.9057149535,624.318435103754
"Social","Group1",12610.657292567,17955.803375226,5345.146082659,14188.4487930516,1644.28519996789
"Social","Group1",11711.6126165116,18863.3514979939,7151.7388814823,13818.2164730762,2055.54375200815
"Social","Group1",12925.4220134207,14924.5855405799,1999.1635271592,12461.9086562631,861.100096416798
"Social","Group1",11808.2544123601,14741.7409545578,2933.4865421977,12584.3549793269,852.655087263887
"Social","Group1",13523.0373237928,18253.3611464331,4730.3238226403,16600.1866580874,2489.58537496477
"Social","Group1",10101.2390650967,20563.3272067463,10462.0881416496,15685.2101717787,2856.42953831888
"Social","Group1",12925.4220134207,18328.5178937882,5403.0958803675,13162.6805442512,2576.34489121362
"Social","Group1",16336.5862345809,17091.9189457963,755.3327112154,14682.9804213503,1166.61018220296
"Social","Group1",15423.3349548803,18632.2521695561,3208.9172146758,16711.1955088976,1906.09343279374
"Social","Group1",16403.8508153027,20904.0960202812,4500.2452049785,17699.5951897832,1807.95115340612
"Social","Group1",24436.6936053226,24336.4900635997,100.203541722902,25472.5507258738,516.301125600953
"Social","Group1",21780.9292974357,20647.9950536848,1132.9342437509,19378.9929427814,1112.9386231415
"Social","Group1",16539.211986606,18555.8499488703,2016.6379622643,17384.2005060392,598.089287590698
"Social","Group1",16744.3509439479,20395.0316398927,3650.6806959448,16998.4119325522,2159.26578506375
"Social","Group1",17882.17495717,21870.6105231143,3988.4355659443,16757.006991648,1737.70784254554
"Social","Group1",19097.3171948727,18328.5178937882,768.799301084498,18078.7543833631,775.825443223787
"Social","Group1",18863.3514979939,20563.3272067463,1699.9757087524,17325.2405256463,1982.04363499559
"Social","Group1",17303.9132315188,19816.7702274914,2512.8569959726,15653.089652689,1216.80874028807
"Social","Group1",18708.9689702445,19334.1848122994,625.215842054902,17167.6982153593,1311.30013494375
"Social","Group1",19493.7264913755,21691.6158128509,2197.8893214754,18649.0200448252,1435.46480629974
"Social","Group1",19254.9042915461,17590.6680899194,1664.2362016267,16715.4618548724,973.602091131291
"Social","Group1",17232.9579124617,23939.7679649004,6706.8100524387,18364.4205321021,1805.74354610462
"Social","Group1",19175.9488634219,20647.9950536848,1472.0461902629,17602.161619037,1776.5516269708
"Social","Group1",18786.0016461934,22601.4820209617,3815.4803747683,18904.560922024,1267.73098791334
"Social","Group1",18708.9689702445,19254.9042915461,545.9353213016,17370.1651523741,1270.94559916598
"Social","Group1",19097.3171948727,22051.0822605655,2953.7650656928,18564.3831999422,1269.78160647823
"Social","Group1",19735.5108478725,23452.947418731,3717.4365708585,20028.0792677979,1095.00336867614
"Social","Group1",23070.6284197165,20228.1134473101,2842.5149724064,18488.9279852882,1190.34199324402
"Social","Group1",19175.9488634219,21250.5119444763,2074.5630810544,18179.5197348049,2160.82385546276
"Social","Group1",19654.5846752647,20647.9950536848,993.4103784201,18187.1941481163,1933.47511048398
"Social","Group1",19816.7702274914,21602.6685614246,1785.8983339332,17608.5199084493,1562.5332455227
"Social","Group1",18863.3514979939,20818.3780221109,1955.026524117,18188.8292819382,784.343184125637
"Social","Group1",21250.5119444763,20145.1673400122,1105.3446044641,17708.0019493285,1322.17780448129
"Social","Group1",12767.0696470666,11240.1390842731,1526.9305627935,14266.6668312658,2915.54604888732
"Social","Group1",14924.5855405799,21076.5922807143,6152.0067401344,18150.5230446331,1323.71879095959
"Social","Group1",19980.2941012235,21076.5922807143,1096.2981794908,17065.032366377,1654.48686472232
"Social","Group1",20311.4010785379,18403.9840930097,1907.4169855282,17639.2650463666,824.08879419699
"Social","Group1",13248.0433294697,18941.0198315918,5692.9765021221,17858.5761361252,1760.82134564544
"Social","Group1",6507.78210501993,14561.1364402983,8053.35433527837,9105.84737375581,2033.61186138368
"Social","Group1",9977.48642418447,17091.9189457963,7114.43252161183,12458.2437655764,1310.7034939548
"Social","Group1",10876.6630396085,17663.0962518801,6786.4332122716,12872.5348123842,2024.3362278901
"Social","Group1",7797.42243888034,18328.5178937882,10531.0954549079,12046.8343798824,1665.42276941713
"Social","Group1",10268.6335347191,17232.9579124617,6964.3243777426,14684.1812944938,3311.25637994773
"Social","Group1",8893.13954994104,14441.9643488067,5548.82479886566,12343.1860779761,2075.28965835221
"Social","Group1",10832.0628913111,19097.3171948727,8265.2543035616,14006.7229774584,1933.91812899261
"Social","Group1",10268.6335347191,14741.7409545578,4473.1074198387,12989.0286426576,1553.99901168849
"Social","Group1",14924.5855405799,18786.0016461934,3861.4161056135,16085.6622189454,1210.14075844798
"Social","Group1",8784.18761857757,13578.7173430213,4794.52972444373,12340.0783516881,2103.30528833149
"Social","Group1",20904.0960202812,22976.0264774584,2071.9304571772,22926.5542065117,1666.91893797032
"Social","Group1",29642.4439808131,32313.8374879953,2671.3935071822,29939.0367828754,1240.11475977759
"Social","Group1",11473.4543495286,14265.0324678159,2791.5781182873,11442.1637634668,829.727331952657
"Social","Group1",9615.25116670375,17232.9579124617,7617.70674575795,14609.0194224501,2264.70141013297
"Social","Group1",23743.8387371305,23549.513044631,194.3256924995,25087.4728953836,1212.01225111837
"Social","Group1",9977.48642418447,17446.7015310176,7469.21510683313,14663.5497062713,3320.48725617729
"Social","Group1",13032.0799124119,18328.5178937882,5296.4379813763,16870.8065312447,1634.83234327029
"Social","Group1",10101.2390650967,17808.8484550925,7707.6093899958,12041.2628431992,1172.65862156703
"Social","Group1",10018.5679225675,19019.0079583106,9000.4400357431,14286.9289081649,3336.54269192885
"Social","Group1",18632.2521695561,19413.7917642245,781.5395946684,16823.8263241692,1214.19625664071
"Social","Group1",19493.7264913755,19654.5846752647,160.858183889202,17569.3213180534,1496.97275005493
"Social","Group1",17808.8484550925,18403.9840930097,595.135637917203,18156.2914225778,1401.93019745243
"Social","Group1",17021.8329169386,19175.9488634219,2154.1159464833,17257.4449973143,1951.63529830551
"Social","Group1",17162.2935482445,20818.3780221109,3656.0844738664,18110.9526169879,1305.23580904789
"Social","Group1",18786.0016461934,20395.0316398927,1609.0299936993,18554.3297323359,1044.41832115195
"Social","Group1",19334.1848122994,18103.9709368509,1230.2138754485,17684.9208074218,1615.77962079784
"Social","Group1",16952.0342783649,22508.8038303986,5556.7695520337,18384.9894664082,1948.16561653817
"Social","Group1",18029.7349523752,17663.0962518801,366.638700495099,16264.1666621728,712.951887846423
"Traveling","Group1",15234.3800732028,22233.0432133261,6998.6631401233,17877.0496668865,1675.47430128964
"Traveling","Group1",21960.6610040313,21250.5119444763,710.149059554999,17283.2967770155,2079.39608422129
"Traveling","Group1",20395.0316398927,19097.3171948727,1297.71444502,17606.7884526679,1695.56086636629
"Traveling","Group1",18479.7610182406,23070.6284197165,4590.8674014759,18262.5838438508,1203.79599341194
"Traveling","Group1",20818.3780221109,20479.0065433618,339.371478749101,17392.0526099241,1619.67292312185
"Traveling","Group1",19019.0079583106,21076.5922807143,2057.5843224037,17493.6045232811,1214.25532626988
"Traveling","Group1",20062.5613562129,21691.6158128509,1629.054456638,18292.0354714544,1516.19182254456
"Traveling","Group1",20062.5613562129,17518.5369222438,2544.0244339691,17955.3461285564,552.56815067233
"Traveling","Group1",17663.0962518801,20647.9950536848,2984.8988018047,19007.1766825942,953.311889974081
"Traveling","Group1",17375.1607033988,22508.8038303986,5133.6431269998,20125.7282144052,1660.26842864309
"Traveling","Group1",20818.3780221109,20990.1669554191,171.788933308198,20946.300031171,57.1647025859497
"Traveling","Group1",21163.3734553397,22141.8758193555,978.5023640158,21717.1626543025,286.425151185379
"Traveling","Group1",22601.4820209617,22508.8038303986,92.6781905630996,22604.3814096525,47.2698984864821
"Traveling","Group1",22508.8038303986,18555.8499488703,3952.9538815283,18131.1277113297,1524.95424120435
"Traveling","Group1",9419.72287957107,13248.0433294697,3828.32044989863,11626.0097310003,705.919762047734
"Traveling","Group1",10481.7829396333,17955.803375226,7474.0204355927,13040.542013389,2259.70982370672
"Traveling","Group1",14441.9643488067,20733.0115136775,6291.0471648708,17402.6304389395,1821.79877485033
"Traveling","Group1",21425.866757196,20904.0960202812,521.770736914801,17246.867036574,1299.73513372301
"Traveling","Group1",18178.5125820257,20062.5613562129,1884.0487741872,18021.9352588965,1290.3303771841
"Traveling","Group1",18863.3514979939,19413.7917642245,550.440266230602,18154.419690979,1429.44092387287
"Traveling","Group1",20062.5613562129,20647.9950536848,585.433697471901,16700.1155916774,1635.20569633269
"Traveling","Group1",19735.5108478725,18403.9840930097,1331.5267548628,17492.8673348654,1262.86202495594
"Traveling","Group1",18632.2521695561,21960.6610040313,3328.4088344752,18643.2304913793,1485.94022399685
"Traveling","Group1",17735.8226309761,20647.9950536848,2912.1724227087,17134.747929737,1284.27368677075
"Traveling","Group1",18029.7349523752,21163.3734553397,3133.6385029645,18903.8787642605,968.542953460248
"Traveling","Group1",16202.8834046274,20818.3780221109,4615.4946174835,17156.0441421988,1287.00341320275
"Traveling","Group1",17375.1607033988,20228.1134473101,2852.9527439113,17991.0795661833,835.730953355048
"Traveling","Group1",16269.5974746936,20479.0065433618,4209.4090686682,16885.7615594426,1031.3705801244
"Traveling","Group1",18863.3514979939,22233.0432133261,3369.6917153322,18580.350826534,1282.82174069999
"Traveling","Group1",22787.9847582759,20733.0115136775,2054.9732445984,17875.7876151911,1419.89261383002
"Traveling","Group1",21250.5119444763,18708.9689702445,2541.5429742318,17783.8328323941,1399.78626690165
"Traveling","Group1",19334.1848122994,20563.3272067463,1229.1423944469,17979.6062393453,1827.22602507385
"Traveling","Group1",18328.5178937882,19573.9903433406,1245.4724495524,17639.1421776998,1407.9638893529
"Traveling","Group1",18403.9840930097,19980.2941012235,1576.3100082138,18200.0612266493,1445.6002528241
"Traveling","Group1",17808.8484550925,19980.2941012235,2171.445646131,18518.0240925862,688.840619796338
"Traveling","Group1",9977.48642418447,17808.8484550925,7831.36203090803,12693.3052214623,1389.51035065696
"Traveling","Group1",19097.3171948727,18941.0198315918,156.297363280901,16889.375688724,1040.43104850949
